Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Wang, Zijie J; Montoya, Evan; Munechika, David; Yang, Haoyang; Hoover, Benjamin; Chau, Duen Horng; ",Diffusiondb: A large-scale prompt gallery dataset for text-to-image generative models,arXiv preprint arXiv:2210.14896,,,,2022,
"Cui, Tianyu; Wang, Yanling; Fu, Chuanpu; Xiao, Yong; Li, Sijia; Deng, Xinhao; Liu, Yunpeng; Zhang, Qinglin; Qiu, Ziyi; Li, Peiyang; ","Risk taxonomy, mitigation, and assessment benchmarks of large language model systems",arXiv preprint arXiv:2401.05778,,,,2024,
"Taylor, Andrew; Vassar, Alexandra; Renzella, Jake; Pearce, Hammond; ",Dcc--help: Transforming the Role of the Compiler by Generating Context-Aware Error Explanations with Large Language Models,Proceedings of the 55th ACM Technical Symposium on Computer Science Education V. 1,,,1314-1320,2024,
"Yang, Zhou; Zhao, Zhipeng; Wang, Chenyu; Shi, Jieke; Kim, Dongsun; Han, Donggyun; Lo, David; ",Unveiling memorization in code models,Proceedings of the IEEE/ACM 46th International Conference on Software Engineering,,,1-13,2024,
"Ryan, Gabriel; Jain, Siddhartha; Shang, Mingyue; Wang, Shiqi; Ma, Xiaofei; Ramanathan, Murali Krishna; Ray, Baishakhi; ",Code-aware prompting: A study of coverage-guided test generation in regression setting using llm,Proceedings of the ACM on Software Engineering,1,FSE,951-971,2024,"ACM New York, NY, USA"
"Yang, Zhou; Sun, Zhensu; Yue, Terry Zhuo; Devanbu, Premkumar; Lo, David; ","Robustness, security, privacy, explainability, efficiency, and usability of large language models for code",arXiv preprint arXiv:2403.07506,,,,2024,
"Ji, Zhenlan; Ma, Pingchuan; Li, Zongjie; Wang, Shuai; ",Benchmarking and explaining large language model-based code generation: A causality-centric approach,arXiv preprint arXiv:2310.06680,,,,2023,
"Tang, Ruixiang; Chuang, Yu-Neng; Hu, Xia; ",The science of detecting LLM-generated text,Communications of the ACM,67,4,50-59,2024,"ACM New York, NY, USA"
"Kadurin, Artur; Nikolenko, Sergey; Khrabrov, Kuzma; Aliper, Alex; Zhavoronkov, Alex; ",druGAN: an advanced generative adversarial autoencoder model for de novo generation of new molecules with desired molecular properties in silico,Molecular pharmaceutics,14,9,3098-3104,2017,ACS Publications
"Tan, Yang; Zhang, Zhixing; Li, Mingchen; Pan, Fei; Duan, Hao; Huang, Zijie; Deng, Hua; Yu, Zhuohang; Yang, Chen; Shen, Guoyang; ",MedChatZH: A tuning LLM for traditional Chinese medicine consultations,Computers in biology and medicine,172,,108290,2024,Elsevier
"Zhou, Hao; Hu, Chengming; Yuan, Ye; Cui, Yufei; Jin, Yili; Chen, Can; Wu, Haolun; Yuan, Dun; Jiang, Li; Wu, Di; ","Large language model (llm) for telecommunications: A comprehensive survey on principles, key techniques, and opportunities",IEEE Communications Surveys & Tutorials,,,,2024,IEEE
"Bi, Zhangqian; Wan, Yao; Wang, Zheng; Zhang, Hongyu; Guan, Batu; Lu, Fangxin; Zhang, Zili; Sui, Yulei; Jin, Hai; Shi, Xuanhua; ",Iterative refinement of project-level code context for precise code generation with compiler feedback,arXiv preprint arXiv:2403.16792,,,,2024,
"Zhao, Xuandong; Zhang, Kexun; Su, Zihao; Vasan, Saastha; Grishchenko, Ilya; Kruegel, Christopher; Vigna, Giovanni; Wang, Yu-Xiang; Li, Lei; ",Invisible image watermarks are provably removable using generative ai,Advances in Neural Information Processing Systems,37,,8643-8672,2024,
"Takefuji, Yoshiyasu; ",Impact of COVID-19 on mental health in the US with generative AI,Asian Journal of Psychiatry,88,,103736,2023,Elsevier
